NESiCAxLive,住所
遊ランド　春光店,北海道旭川市春光１条７丁目２番２５号
タイトーステーション イオンモール釧路昭和店,北海道釧路市昭和中央４－１８－１　イオン釧路ショッピングセンター内２Ｆ
ギャラクシーゲート星が浦,北海道釧路市星が浦大通２−５
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１丁目２−１０
キャッツアイ東苗穂店,北海道札幌市東区東苗穂六条２丁目１−２５
ＭＡＸＩＭ　ＨＥＲＯ,北海道札幌市北区北六条西６丁目　鉄道高架下
ディノスパーク室蘭,北海道室蘭市東町４丁目３１番２号
ディノスパーク帯広,北海道帯広市白樺１６条西２丁目　ドリームタウン白樺内
ＰＡＬＯ苫小牧店,北海道苫小牧市糸井１３５−１　トライアルＧ棟　トライアル苫小牧店
ディノスパーク北見,北海道北見市西三輪５丁目１番地１６
パロ五所川原店,青森県五所川原市唐笠柳字藤巻６４１−１　アクロスプラザ五所川原
ゲームフェスタミタマ,青森県弘前市駅前町５番地５
スペースファンタジーインフィニ,青森県弘前市城東北３丁目１０番地１　さくら野百貨店弘前店　４Ｆ
ファンタジードーム八戸,青森県八戸市江陽２−１４−１　ラピア八戸別棟
ＢＩＮＧＯ一関,岩手県一関市山目字中野９２−１
テクノワールド,岩手県奥州市江刺愛宕１２７−１
タイトーFステーション 盛岡南店,岩手県盛岡市津志田２－１－７７
アミューズメントパークサムワン,宮城県柴田郡村田町沼辺牡丹山４２−１
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町２６−６０　斎喜東部ビル
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２－３－２５
ビーカム松森店,宮城県仙台市泉区松森字斉兵衛５８−１
ＧＡＭＥ　ＢＡＮＫ　仙台泉店,宮城県仙台市泉区大沢２丁目５−４
タイトーステーション 仙台ベガロポリス店,宮城県仙台市太白区西多賀５－２４－１　ベガロポリス内
ＧｉＧＯ秋田,秋田県秋田市茨島１－１－１６
ｎａｍｃｏイオンタウン大館西店,秋田県大館市根下戸新町１８−１２１　イオンタウン大館西内
ビーカム成沢店,山形県山形市成沢西５−３−２７
パルケデアミーゴ！,山形県山形市嶋北１−３−１
ドリームファクトリーいわき店,福島県いわき市中央台飯野４−１
アミューズパーク郡山,福島県郡山市安積町日出山２−８０
ソユーＥスタジオ須賀川店,福島県須賀川市古河１０５番地　イオンタウン須賀川Ｂ棟内
ゲームメガみらい平店,茨城県つくばみらい市陽光台１−１４−１　ＴＸみらい平駅前ピアシティー内
アミューズ　ビバ,茨城県ひたちなか市東大島２−１１−１１
ゲームパドック＋１古河店,茨城県古河市小堤１９１６番地１
ＧｉＧＯ水戸,茨城県水戸市宮町１－７－４４　コムボックス３１０
フリスポ,茨城県筑西市神分４７２
ゲームパニックつくば,茨城県土浦市中村東１−１−１
ＧｉＧＯ日立,茨城県日立市田尻町３－２６－１
ゲームメガ日立店,茨城県日立市東多賀町５−１０−１０
ＩＮＴＥＲ　ＰＡＲＫ　＋１　宇都宮店,栃木県宇都宮市インターパーク６丁目５番地１
アミューズメント　ヒカリ,栃木県宇都宮市江野町７−１３　プラザヒカリ　１Ｆ
スコナランド　宇都宮店,栃木県宇都宮市馬場通り２−３−１２　ＭＥＧＡドンキホーテ　ラパーク宇都宮　Ｂ１Ｆ
ｎａｍｃｏ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル２Ｆ
アピナ小山店,栃木県小山市駅南町４−２７−１８
ドラマ足利店,栃木県足利市朝倉町２４４−１
アクツベンディング,群馬県伊勢崎市東小保方町１２２５−１
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町３０６６−１
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１　高崎ＥＸビル２Ｆ
ゲームパークＭ−１,群馬県前橋市国領町２−１３−６
群馬レジャーランド太田店,群馬県太田市西矢島町１６２番地２
ＧｉＧＯ太田,群馬県太田市西矢島町５７５－１
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１丁目１番地１　ミナトビル１～３Ｆ
ビッグワンセカンド,埼玉県さいたま市南区南浦和２−２７−１２　アビアントビル２Ｆ
ＡＭフィールド・バイヨン,埼玉県ふじみ野市うれし野２丁目１６番１号　ＬＣモールうれし野２階
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座２丁目９７番地　ＣＡＲＰＡ　１階
キャロム坂戸店,埼玉県坂戸市関間２−１５１−１
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　ＰＡＰＡ上尾ショッピングアベニュー　プリンセス棟別棟
ウェアハウス草加店,埼玉県草加市稲荷２−３６−３３
ゲームファクトリーマグマ草加,埼玉県草加市氷川町２１２５−１
嵐山ドライブイン,埼玉県比企郡嵐山町志賀１８２２
タイトーステーション 旭サンモール店,千葉県旭市イ２６７６－１サンモール３Ｆ
ゲームチャリオット五井店,千葉県市原市五井中央西２－１－２
ゲームチャリオット辰巳店,千葉県市原市市原５００−１
ｎａｍｃｏ松戸店,千葉県松戸市松戸１２３０−１　ピアザ松戸
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台２−５−７　海宝ビル　２Ｆ
ラッキー中央店フェリシダ,千葉県千葉市中央区富士見２−８−１
千葉レジャーランド野田店,千葉県野田市吉春７７６−１
ドットコム葛西店,東京都江戸川区中葛西３−３５−５
高田馬場ゲーセンミカド,東京都新宿区高田馬場４−５−１０　オアシスプラザビル
新宿スポーツランド本館,東京都新宿区新宿３−２２−１２　サンパーク本館１Ｆ
タイトーステーション 新宿南口ゲームワールド店,東京都新宿区新宿３－３５－８
ゲームスタジオキューブ高円寺店,東京都杉並区高円寺南４−２６−１２　福丸ビルＢ１Ｆ
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵３８２−１
Hey,東京都千代田区外神田１－１０－５　広瀬本社ビル２Ｆ
タイトーステーション 秋葉原店,東京都千代田区外神田４－２－２　貴三ビル
ハイテクランド　キューデン,東京都足立区西新井栄町２−７−２
ウェアハウス入谷店,東京都足立区入谷７−８−１１
タイトーステーション 上野アメ横店,東京都台東区上野４－１０－１７
ＧｉＧＯ大森,東京都大田区山王２－１－５　大森駅ララビル　２Ｆ
タイトーステーション BIGFUN平和島店,東京都大田区平和島１－１－１　ＢＩＧＦＡＮ平和島３Ｆ
中野ＴＲＦ,東京都中野区中野５−５２−１５　中野ブロードウェイ　４１２−２
ｎａｍｃｏ中野店,東京都中野区中野５−５２−１５　中野ブロードウェイ別館
タイトーステーション 町田店,東京都町田市原町田６－２１－２３　松山ビル１Ｆ
ドラマ八王子高倉店,東京都八王子市高倉町５５−４
ゲームプラザセントラル八王子店,東京都八王子市東町１２−１５　第五セントラルビル
ゲームニュートン志村店,東京都板橋区志村３−２４−３
タイトーＦＳ吉祥寺ＪＯＹ店,東京都武蔵野市吉祥寺本町１－８－２３　河田ビル
ゲームセンターＷＩＬＬ,東京都立川市羽衣町２−４−１３　長田ビル１０２
タイトーステーション 立川北口店,東京都立川市曙町２－４－５　クリサス立川２・３Ｆ
ゲームパーク石神井公園,東京都練馬区石神井町３−１７−１６
ＧｉＧＯ綱島,神奈川県横浜市港北区綱島西２－６－２９　城田ビル　３Ｆ
パソピアード横浜,神奈川県横浜市西区南幸１−５−２４　相鉄ビル１Ｆ
ドラマ港北インター店,神奈川県横浜市都筑区東方町３２１−６
神奈川レジャーランド厚木店,神奈川県厚木市戸室５−３１−１
ＡＭパーク　ネバーランド２,神奈川県座間市ひばりが丘４−１１−４８
タイトーステーション 溝の口店,神奈川県川崎市高津区溝口１－１１－８　ムサシボウビル
ムトス相模原店,神奈川県相模原市中央区中央２−１−５
ＧｉＧＯ相模大野,神奈川県相模原市南区相模大野３－１３－２　フレスコビル２Ｆ
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１　ラ・フローラル駐車場棟１Ｆ
ドラマ藤沢店,神奈川県藤沢市本藤沢５−６−８
メジャーロード２４,新潟県見附市今町４−２０−５６８−１
メジャーロード黒埼店,新潟県新潟市西区山田３３０３
メジャーロード白根店,新潟県新潟市南区上下諏訪木論地９４７−６
アピナ長岡店,新潟県長岡市堺東町２２番地
テクノポリス,新潟県長岡市要町１丁目８番５０号
プレイゾーンバンブー,新潟県南魚沼市竹俣６０－６
ゲームスポット　アップル,富山県魚津市吉島二丁目４０７－１
ゲームスポット３０６,富山県高岡市昭和町２−２６７−５
ゲームスポット２０７,富山県高岡市鐘紡町１６５５−３
トヤマ　レジャーランド　呉羽店,富山県富山市高木字貝塚２０５４
アピナ富山豊田店,富山県富山市豊田町２−１２−６６
アピナ富山南店,富山県富山市堀川町３５５−３　マイプラザ内
バイパスレジャーランド藤江本館,石川県金沢市藤江南２−４１
タイトーステーション 金沢店,石川県金沢市片町２－１－７　宇都宮ビル　１Ｆ
キッズサーカスシビィ店,福井県越前市新町７－８
ジョイランド敦賀店,福井県敦賀市木崎４０−１２
福井レジャーランド板垣店,福井県福井市下馬３−１１２
アピナ伊那店,長野県伊那市西町５０９３
ＧｉＧＯ松本,長野県松本市渚１－７－１　なぎさライフサイト内
アピナ松本店,長野県松本市双葉１９−１０
ＧｉＧＯ上田,長野県上田市上田１８４７－１
ゲームのおきなや,長野県長野市大字鶴賀１４７３番４　クレインビル２Ｆ
Ａ．Ｃ．グランド茜部店,岐阜県岐阜市茜部大川１−７７
ＧｉＧＯ袋井,静岡県袋井市川井１１４２－１
ポート２４　浜松店,静岡県浜松市西区坪井町４１８３−１
ゲーム　アルカナ,愛知県稲沢市朝府町２－３３
ＡＤＸマミー岡崎店,愛知県岡崎市井田新町６−１
ゲームファンタジアン岡崎店,愛知県岡崎市錦町２番地４
ポート２４幸田店,愛知県額田郡幸田町大字相見字沖原１－３　カメリアガーデン幸田内
ＧｉＧＯ春日井,愛知県春日井市岩野町４１８０
半田メトロポリス,愛知県半田市旭町３丁目１１番地１
ゲームコング,愛知県豊田市広路町２−２０
Ｍ’Ｓ　ＰＡＲＫ豊田店,愛知県豊田市寿町３丁目２１番地、２２番地
ポート２４八事店,愛知県名古屋市昭和区広路町北石坂１０２番地４
キングジョイ,愛知県名古屋市中区栄三丁目３番３２
コムテックスクウェア,愛知県名古屋市中区金山１−１６−８
タイトーステーション フェドラ大須店,愛知県名古屋市中区大須３丁目３０－３１
ゲームＢＯＸ．Ｑ３,愛知県名古屋市中村区則武１−１６−８
スペースシャトル塩釜口店,愛知県名古屋市天白区塩釜口２−４１４
ファンタジープラザ名古屋,愛知県名古屋市北区玄馬町２３４−１　ドン・キホーテ名古屋本店　クロスタウン　２階
ドリームキャンディ,三重県伊賀市小田町７１１−１
プレビ　トナリエ四日市店,三重県四日市市安島１−３−３１　トナリエ四日市店　５Ｆ
ＧｉＧＯ生桑,三重県四日市市生桑町川原崎２９９－１
アピナ四日市店,三重県四日市市泊小柳町４−３４
ゲームチャオ松阪,三重県松阪市船江町７８０
エースレーン愛知川店,滋賀県愛知郡愛荘町長野２００番地
エースレーン近江八幡,滋賀県近江八幡市出町７３６
エースレーン堅田,滋賀県大津市今堅田２丁目４０番１０号
ゲームディーノ彦根店,滋賀県彦根市西沼波町１６６
プレイランドキング円町店,京都府京都市中京区西ノ京西円町４０
ａ−ｃｈｏ,京都府京都市中京区東大文字町３０２−３０３　Ａ−Ｂｒｅａｋビル　２Ｆ・３Ｆ
ゲームディーノ,大阪府茨木市永代町５　ソシオビルＢ１Ｆ
モンキートリック,大阪府寝屋川市香里南之町３２−５　ＹＮレジデンス香里　２Ｆ
コスミックプラザＡＢＣ,大阪府寝屋川市早子町１８ー１４
ＫＯ−ＨＡＴＳＵ（コーハツ）,大阪府大阪市北区天神橋２−２−２１　コーハツビル１Ｆ
ＧｉＧＯ難波アビオン,大阪府大阪市浪速区難波中２－３－１５　ＭＭＯビル　Ｂ１～３Ｆ
アテナ日本橋,大阪府大阪市浪速区難波中２丁目１−２２
タイトーステーション 大阪日本橋店,大阪府大阪市浪速区日本橋４－９－１４
ＧｉＧＯ布施,大阪府東大阪市長堂１－１－１　ロンモール布施内
ゲーム・ザ・ゴリラ,大阪府和泉市伏屋町４−１０−５１
ホムスタ　加古川店,兵庫県加古川市尾上町安田３５１−１　ホームランスタジアムメガコート２Ｆ
Ａｍｕｓｅ　Ｓｐａｃｅ　ＭＩＲ,兵庫県三田市対中町５番２１
遊スペース　マジカル,兵庫県神戸市中央区琴ノ緒町５丁目２−３
プレイステーションネーブル西宮,兵庫県西宮市両度町６−１０　両度ビル１Ｆ
ブック２４５,奈良県大和郡山市横田町７５−１
アミューズメントＣＵＥ奈良三条店,奈良県奈良市三条町４７８−１
タイトーＦステーション南紀店,和歌山県新宮市佐野３−１１−１９　スーパーセンターオークワ南紀店敷地内
ピタゴラス　和歌山,和歌山県和歌山市土入７３－１
アミパラがいな店,鳥取県米子市日ノ出町１丁目８−１３
ＧｉＧＯ松江,島根県松江市嫁島町１２－１５
アミパラ岡山店,岡山県岡山市北区青江１丁目１３−８
アミパラテクノランド店,岡山県岡山市北区大和町１丁目７番１２
ファンタジスタ,岡山県倉敷市新倉敷駅前５−１９４
アミパラ倉敷店,岡山県倉敷市西中新田６２４−１　アミパラボウル倉敷１Ｆ
ＧｉＧＯ海田,広島県安芸郡海田町南大正町３‐３５
タイトーステーション 広島紙屋町店,広島県広島市中区紙屋町２－２－２１
ビバーチャ,広島県広島市中区南竹屋町１０−１７
タイトーステーション 広島本通店,広島県広島市中区本通３－５
アミパラここじゃ,広島県東広島市西条町下見６−１０−１９　山手電機内
タイトーFステーション 山口メルクス店,山口県山口市黒川８２－１　ハイパーモールメルクス山口内
ゲームスポットＳＰＥＥＤ,山口県周南市大字久米３２１９
アポロゲームセンター沖洲店,徳島県徳島市南沖洲１丁目９３番地１
アミューズメントパフェパレパレ,徳島県徳島市南田宮２−２−４６
マックスプラザ善通寺,香川県善通寺市中村町１７９８−２　マックスボウル　１Ｆ
タイトーFステーション 今治店,愛媛県今治市東村１丁目１４−２　今治ワールドプラザ内
ＡＭパークＭＧ伊予三島店,愛媛県四国中央市中之庄町７５−１
ＧｉＧＯ松山,愛媛県松山市枝松５－７－３２
プラサカプコン新居浜店,愛媛県新居浜市前田町８−８　イオンモール新居浜２Ｆ
ＧｉＧＯ新居浜,愛媛県新居浜市徳常町６－８
えの木,高知県高知市旭町３−１００−３
ラウンドワン大野城店,福岡県大野城市御笠川１丁目１８−１６
Ｇ−ＳＴＡＧＥ七隈店,福岡県福岡市城南区七隈８−４−８
楽市楽座００３楽市街道店,福岡県福岡市東区箱崎５−１−８
ハイパーメッセ,福岡県北九州市小倉南区北方４−６−７
ＰＥＰ魚町,福岡県北九州市小倉北区魚町２丁目４番２０号
ＧｉＧＯ武雄,佐賀県武雄市武雄町富岡１２５１７－１
三冠王,長崎県佐世保市相浦町２６８９−１
大江ゲームセンター,熊本県熊本市中央区大江１−６−６
パスカワールド　グリーンランド,熊本県荒尾市本井手１５７４番５４
サイドセブン,大分県大分市上宗方南１丁目６４９−１
トライセン中津店,大分県中津市大字下池永６７−３
ジーパラ日田,大分県日田市友田町９９７−１
Ｇ−ＳＴＡ,鹿児島県薩摩川内市向田本町４９番
電遊パーク志布志店,鹿児島県志布志市志布志町安楽１００−１
サンアミューズ鹿屋店,鹿児島県鹿屋市札元２丁目３７９８−１
ゲームセンター電撃ベイサイド店,鹿児島県鹿児島市浜町２番２
