店舗名,住所 新規筐体設置店舗一覧[ 2023年2月24日(金)～以降順次設置］
モーリーファンタジー上磯店,北海道北斗市七重浜4-44-1 イオン上磯1階
ソユーゲームフィールド旭川西店,北海道旭川市緑町23-2161-3 イオン旭川西3階
ソユーゲームフィールド札幌発寒店,北海道札幌市西区発寒八条12-1-1 イオンモール札幌発寒3F
イオン千歳キッズ・パーク,北海道千歳市栄町6-61 イオン千歳
PALO滝川店,北海道滝川市東町2-29-1 イオン滝川1階
モーリーファンタジー旭川西店,北海道旭川市緑町23-2161-3 イオン旭川西2階
PALO釧路店,北海道釧路郡釧路町桂木1－1－7 イオン釧路2階
ゲームフェスタミタマ,青森県弘前市駅前町5-5
ゲームランドつがる柏店,青森県つがる市柏稲盛幾世41 イオンモールつがる柏ショッピングセンター2F
ソユーゲームフィールド盛岡南店,岩手県盛岡市本宮7-1-1　イオン盛岡南1Ｆ
GiGO佐沼,宮城県登米市迫町佐沼字中江2-5-8
GiGO石巻,宮城県石巻市大街道4丁目1番45号
プラサカプコン,イオンタウン佐沼店,宮城県登米市南方町新島前46-1　イオンタウン佐沼1階
SOYU Game Field大館店,秋田県大館市御成町3-7-58　いとく大館ショッピングセンター3F
ソユーゲームフィールド能代店,秋田県能代市鰄渕字古屋布1番　イオンタウン能代内
G3POROS横手南店,秋田県横手市婦気大堤字中田4-1　イオンスーパーセンター横手南店,2Fゲームコーナー
GiGO北山形,山形県山形市北町1-3-20 GiGO北山形
SOYU Game Field三川店,山形県東田川郡三川町猪子和田庫128-1　イオンモール三川1階
セガ庄内,山形県東田川郡三川町猪子大堰端326-6　AGスクエア庄内
GiGO白河,福島県白河市新高山1-1　メガステージ白河
ゲームスペースA-3,福島県西白河郡西郷村豊作西15-16-17
ザ・サードプラネットピボット福島店,福島県福島市栄町1-1　パワーシティピボット
モーリーファンタジー郡山フェスタ店,福島県郡山市日和田町字小原1　イオン郡山フェスタ1階
タイトーFステーション坂東店,茨城県坂東市辺田1104-1ヨークベニマル坂東
アミューズメントジャムジャム神栖店,茨城県神栖市神栖1-8-1
GiGO日立,茨城県日立市田尻町3-26-1セガワールド日立
ソユートイズニューヨーク守谷,茨城県守谷市百合ケ丘３―２４９―１イオンタウン守谷２階
モーリーファンタジー下妻店,茨城県下妻市堀籠９７２－１イオンモール下妻２階
タイトーFステーションVAL小山,栃木県小山市城山町3-3-22 VAL小山駅ビル3F
GiGO西那須野,栃木県那須塩原市南郷屋2-106-27GiGO西那須野
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8
PALO石橋店,栃木県下野市下古山3362-1ヨークタウン石橋
ゲームシティボストン大友,群馬県前橋市大友町3-7-3
ザ・サードプラネット高崎,群馬県高崎市下和田町５－３－８メディアメガ高崎
インターワールド幸手,埼玉県幸手市上高野2142-1
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町杉戸2338
GiGO南越谷ラクーン,埼玉県越谷市南越谷1-15-1 ラクーン南越谷2F
埼玉レジャーランド大宮ラクーン店,埼玉県さいたま市大宮区宮町1-60 大宮ラクーン5F
ＦＥＳＴＡ上尾店,埼玉県上尾市愛宕３－１－４０バリュープラザ上尾愛宕２階
GiGO,川口,埼玉県川口市東領家2-2-10セガ川口
SOYU Game Field熊谷店,埼玉県熊谷市銀座2-245ショッピングセンターニットーモール4階
ザ・サードプラネットフレスポ八潮店,埼玉県八潮市大瀬８２２－１フレスポ八潮３階
FUNFUN越谷店,埼玉県越谷市南荻島2770-1
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1関口池田ビル1F
ウェアハウス越谷店,埼玉県越谷市南荻島841番地1
キャロム所沢店,埼玉県所沢市下安松969-1
タイトーステーション　所沢店,埼玉県所沢市日吉町３番７号スカイビュウビル１、２Ｆ
タイトーステーション和光店,埼玉県和光市丸山台１－４－５タイトーステーション和光
ビデオゲームミュージアムロボット,深谷店,埼玉県深谷市上柴町西4-12-1キャラゲット深谷
モンテカルロ深谷店,埼玉県深谷市西島町3-1-2
モーリーファンタジー北戸田店,埼玉県戸田市美女木東１－３－１イオン北戸田２階
PALO埼玉大井店,埼玉県ふじみ野市西鶴ケ岡1-3-15ビバモ-ル埼玉大井2階
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18 グリーンパーク⾧命泉内
ゲームガリバー柏,千葉県柏市柏1-1-11 ファミリかしわB1F
スタジオプリモ本八幡店,千葉県市川市八幡2-15-10パティオ5F
テクモピア船橋南口,千葉県船橋市本町1-7-6 ドリーム船橋3F
GiGO旭,千葉県旭市ニ3150-1GiGO旭
GiGO稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1オーツパーク
ソユーゲームフィールド木更津店,千葉県木更津市築地１番４イオンモール木更津２階
アピナ野田七光台店,千葉県野田市七光台4-2イオンタウン野田七光台
アミューズメントパフェパレパレ稲毛⾧沼店,千葉県千葉市稲毛区⾧沼原町731-17フレスポ稲毛A棟-4
ゲームチャリオット五井店,千葉県市原市五井中央西2-1-2
シルクハット,津田沼,千葉県習志野市津田沼1-2-1十三ビル 地下1階
スポーツウェーブ鉄腕24稲毛⾧沼店,千葉県千葉市稲毛区⾧沼原町694
千葉レジャーランド成東店,千葉県山武市姫島111-1
ゲームランド千葉ニュータウン店,千葉県印西市中央北３丁目３番イオン千葉ニュータウン２階
モーリーファンタジー木更津店,千葉県木更津市築地１－４イオンモール木更津
プラサカプコン富津店,千葉県富津市青木１丁目５­１ イオンモール富津 ２F
GiGO池上,東京都東京都大田区池上6-2-3
ゲームスタジオキューブ高円寺,東京都杉並区高円寺南4-26-12 福丸ビルB1F
ゲームパーク石神井公園,東京都練馬区石神井町3-17-16
ゲームリボン東十条,東京都北区東十条4-4-23 岩本ビル
ドットコム葛西,東京都江戸川区中葛西3-35-5 パーラー英2F
ミラクルイン中村橋,東京都練馬区貫井1-1-2 YKビル2F
西日暮里GAMESPOTVERSUS,東京都荒川区西日暮里5-15-10 今井ビル3F
namco秋葉原店,東京都千代田区外神田1丁目15-9
シルクハット大森店,東京都大田区山王2-2-15
GiGO府中,東京都府中市西原町1-6-2フレスポ府中
タイトーステーションＢＩＧＢＯＸ高田馬場,東京都新宿区高田馬場１－３５－３ＢＩＧＢＯＸ６階
タイトーステーション渋谷店,東京都渋谷区渋谷１－２４－１２渋谷東映プラザ１階　タイトーステーション内
タイトーステーション浅草,東京都台東区浅草１－２７－３タイトーステーション浅草
モーリーファンタジー東久留米店,東京都東久留米市南沢５－１７イオン東久留米３階
アミューズメントレイブファクトリーマーズ,神奈川県横浜市中区⾧者町6-105
ゲームコスモ金沢文庫,神奈川県横浜市金沢区谷津町344
アドアーズ大和店A館,神奈川県大和市大和東1-4-3 大黒屋ビル1・2F
GiGO綱島,神奈川県横浜市港北区綱島西2-6-29城田ビル3階
クラブセガ新杉田,神奈川県横浜市磯子区杉田１丁目１-１らびすた新杉田２Ｆ
シルクハット,大船,神奈川県鎌倉市大船1-24大船駅前ビル1階、2階、3階
GiGO,センター南,神奈川県神奈川県横浜市都筑区茅ケ崎中央3-25
プラサカプコン磯子店,神奈川県横浜市磯子区磯子１－１－１マリコム磯子ショッピングセンター２階
Hapipi,Land十日町店,新潟県十日町市丑735-1
VIVAZONE糸魚川店,新潟県糸魚川市寺島3-2-40　ヴィラオレッタ糸魚川2Fゲームセンター
ゲームセンターテクノポリス,新潟県⾧岡市要町1-8-50
メジャーロード白根店,新潟県新潟市南区上下諏訪木論地948-2 メジャーロード白根
ゲームスポット306,富山県高岡市昭和町2-267-5
プレイランドイン黒部,富山県黒部市沓掛645
モーリーファンタジーとなみ店,富山県砺波市中神一丁目174番地　イオンモールとなみ2階
ゲームセンターベティ,石川県七尾市舟尾町ウ-38
アピナ野々市店,石川県野々市市白山町4-1　イオンタウン野々市
バイパスレジャーランド藤江本館,石川県金沢市藤江南2-41
GiGO福井,福井県福井市丸山1-410
プラサカプコン甲府店,山梨県中巨摩郡昭和町西条字北河原3717,プラサカプコン甲府
プレイタウン・パル富士吉田店,山梨県富士吉田市新西原4丁目12-15
GiGO岡谷,⾧野県岡谷市塚間町2-1-21 セガ岡谷
アピナ飯田店,⾧野県飯田市座光寺3727-1 アピナ飯田
セガワールド豊科,⾧野県安曇野市豊科南穂高1115 セガワールド豊科
GiGO上田,⾧野県上田市大字上田1847-1
ザ・サードプラネット,⾧野大通り店,⾧野県⾧野市権堂町1506番地3 ⾧電権堂第2ビル1階
MIRAINOイオンモール土岐店,岐阜県土岐市土岐津町土岐口1372番1　イオンモール土岐2F
アピナ本巣店,岐阜県本巣市政田字下西浦1986 イオンタウン本巣内
ゲームゾーン各務原店,岐阜県各務原市鵜沼各務原町5丁目286-1　ペタルビル
セガワールド高山,岐阜県高山市上岡本町7丁目7
アップル島田,静岡県島田市宝来町8-5　アップル島田
アピナ大須賀店,静岡県掛川市西大渕3359 ロックタウン
アピナ磐田店,静岡県磐田市西貝塚横須賀道北3690 イオンタウン磐田内
タイトーＦステーションイオン富士宮店,静岡県富士宮市浅間町1番8号　イオン富士宮3階
モーリーファンタジー・f,富士南店,静岡県富士市鮫島118-10　イオンタウン富士南2階
モーリーファンタジー富士宮店,静岡県富士宮市浅間町1-8　イオン富士宮2階
ゲームコング,愛知県豊田市広路町2-20
GiGOイオンタウン刈谷,愛知県刈谷市東境町京和1　イオンタウン刈谷
GiGO尾西,愛知県一宮市篭屋3-9-7　アソビックスびさい1階
安城メトロポリス,愛知県安城市浜富町6-8　安城メトロポリス
プラサカプコン稲沢店,愛知県稲沢市⾧野7丁目1-2 リーフウォーク稲沢2階
アミューズファクトリー常滑店,愛知県常滑市りんくう町2丁目20番3 イオンモール常滑2階
モーリーファンタジー豊橋南店,愛知県豊橋市野依町字落合1-12 イオン豊橋南2階
ゲームチャオ松阪,三重県松阪市船江町780
ドリームキャンディー,三重県伊賀市小田町711
GiGO桑名,三重県桑名市大字大仲新田字宮前158番地　サンシパーク
モーリーファンタジー伊勢ララパーク店,三重県伊勢市小木町曽弥538　イオンタウン伊勢ララパーク2階
アクション草津,滋賀県草津市野路3-1-11 ACT草津2号館
アミパラ草津店,滋賀県草津市木川町72
エースレーン近江八幡,滋賀県近江八幡市 出町736
アクション堅田,滋賀県大津市今堅田２丁目４０－１０アクション堅田
エースレーン守山,滋賀県守山市播磨田町２３１－４ＡＣＴ守山３番館２Ｆ
GiGOエイスクエア草津,滋賀県草津市西渋川1-23-23エイスクエア2F
プレイランドキング円町,京都府京都市中京区西ノ京西円町40
あそＶＩＶＡ,京都府福知山市堀小字下高田２３４６
アミパラ久御山店,京都府久世郡久御山町森大内337イオンタウン久御山
GiGO,MOMOテラス京都伏見,京都府京都市伏見区桃山町山ノ下32MOMOテラスAM棟2F
ネオ・アミューズメントスペースa-cho,京都府京都市中京区寺町通四条上る東大文字町３０２－３０３Ａ－ｂｒｅａｋビル２・３Ｆ
プラサカプコン京都店,京都府京都市右京区西院追分町２５－１イオン京都五条３階
モーリーファンタジー高の原店,京都府木津川市相楽台１－１－１イオン高の原４階
ゲームディーノ阪急茨木,大阪府茨木市永代町5 ソシオビルB1F
ゲームポイントシャトーEX,大阪府大阪市都島区東野田町3-9-3
コスミックプラザABC,大阪府寝屋川市早子町18-14
ダイナソアエイジ,大阪府大府市東新町3-88
アミパラ光明池店,大阪府和泉市室堂町824-36コムボックス光明池2階
タイトーFステーションりんくうシークル店,大阪府泉佐野市りんくう往来3りんくうPTシークル
モーリーファンタジーLINKS,UMEDA店,大阪府大阪市北区大深町4-8LINKS UMEDA 5F
ソユーゲームフィールド堺鉄砲町店,大阪府堺市堺区鉄砲町1番地イオンモール堺鉄砲町3階
アテナ日本橋,大阪府大阪市浪速区難波中２－１－２２
遊楽舎,姫路花田店,兵庫県姫路市花田町上原田2-1 ビッグエムワン2F
アミパラ垂水店,兵庫県神戸市垂水区名谷町字室山1400-18
アルゴ,兵庫県神戸市中央区下山手通1-1-8M:2nd
ゲームアイビス太子店,兵庫県揖保郡太子町太田2149ゲームアイビス太子店
セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町６－１フェニックスプラザ摩耶１Ｆ
モーリーファンタジー明石店,明石市大久保町ゆりのき通3-3-1 イオン明石ショッピングセンター3番街
モーリーファンタジー姫路大津店,兵庫県姫路市大津区大津町２丁目５番イオンモール姫路大津２階
アミパラ伊川谷店,兵庫県神戸市西区池上3丁目2番3号
G-pala花北,兵庫県姫路市増位新町1丁目6 ヴィーナスギャラリ 2F
セガつかしん,兵庫県尼崎市塚口本町４－８－１つかしん内
セガワールド米子,鳥取県米子市両三柳２７７８－２セガワールド米子
G-pala出雲店,島根県出雲市渡橋町784-1G-pala出雲
アミパラ松江店,島根県松江市東朝日町203-1
アミパラテクノランド,岡山県岡山市北区大和町１－７－１２
アミパラ津山店,岡山県津山市河辺１０００－１イオン津山２階
ふぇすたらんど倉敷マスカット店,岡山県倉敷市松島羽伏１１６３－２マルナカ倉敷マスカット３階
タイトーFステーションマルナカ新倉敷店,岡山県倉敷市玉島爪崎981-1マルナカ新倉敷
モーリーファンタジー・f岡山店,岡山県岡山市北区下石井1丁目2番1号イオンモール岡山4階
ビバーチャ,広島県広島市中区南竹屋町10-17
あみぱらんど福山店,広島県福山市三吉町南２－８－２４あみぱらんど福山
福山メトロポリス,広島県福山市一文字町24-1福山コロナワールド
タイトーFステーションゆめタウン東広島店,広島県東広島市西条土与丸１－５－７ゆめタウン東広島４階
タイトーFステーションゆめタウンみゆき,広島県広島市南区宇品西6-7-14ゆめタウンみゆき2階
フレスパランドカッタの湯,山口県宇部市海南町1675
ネオブラボー,山口県防府市高倉1-3-30
SOYUFamilyGameField防府店,山口県防府市鐘紡町7-1イオンタウン防府1階
アミパラ周南久米店,山口県周南市久米中央五丁目6番1号
セガ小郡,山口県山口市小郡前田町３－６セガ小郡
ゆめシティゆめパーク,山口県下関市伊倉新町３丁目１－１ゆめシティ
アポロゲームセンター沖洲,徳島県徳島市南沖洲1-93-1
宮西スタジアムII,愛媛県松山市宮西2-4-41
ふぇすたらんど今治店,愛媛県今治市馬越町4-8-1イオン今治店3F
アミューズメントパークMG東予周布店,愛媛県西条市周布７１５－１フジ東予別棟
ウェアハウス四万十店,高知県四万十市右山五月町8-13
タイトーFステーション野市店,高知県香南市野市町西野2007-1フジグラン野市
G-pala博多店,福岡県福岡市博多区東光寺町2-6-40　コマーシャルモール博多2F
G-stage七隈,福岡県福岡市城南区七隈8-4-8
G-stage小倉,福岡県北九州市小倉北区浅野2-14-5 あるあるCity2F
PEP,魚町店,福岡県北九州市小倉北区魚町2-4-20
スペースワン,福岡県小郡市小郡1466-3
楽市楽座くりえいと宗像店,福岡県宗像市くりえいと1丁目4番4号
アソビクル新宮,福岡県福岡市糟屋郡新宮町三代999-1
Ｇ－ｓｔａｇｅ飯塚店,福岡県飯塚市枝国６８０－２Ｇ－ｓｔａｇｅ飯塚
パスカランド黒崎店,福岡県北九州市八幡西区西曲里町3-1イオンタウン黒崎
マンガ倉庫飯塚店,福岡県飯塚市楽市769-1
楽市楽座砂津店,福岡県北九州市小倉北区砂津３丁目１－１チャチャタウン小倉Ｂ棟３階
FASボウリングセンター,佐賀県唐津市栄町2581-1
パスカランド鳥栖,佐賀県佐賀県鳥栖市本鳥栖町537-1 フレスポ鳥栖店2F
セガ武雄,佐賀県武雄市武雄町大字富岡12517-1
G-stage浜町,⾧崎県⾧崎市浜町2-26
サンゲームス佐世保店,⾧崎県佐世保市田原町38-1
モーリーファンタジー大塔店,⾧崎県佐世保市大塔町１４－２イオン大塔３階
FESTA人吉店,熊本県人吉市宝来町1307番地1HITOYOSHI-REX
ゴーゴーバンビーノ,熊本県人吉市下林町122番1
ザ・サードプラネット荒尾店,熊本県荒尾市原万田700-1
サンゲームス熊本インタープラザ,熊本県熊本市東区御領8-4-82
モーリーファンタジー熊本店,熊本県上益城郡嘉島町上島字⾧池2232イオン熊本2階
トライセン中津,大分県中津市下池永67-3
トライセン萩原,大分県大分市萩原4-227-7 ACS3F
FESTA佐伯店,大分県佐伯市鶴岡西町2丁目163番地コスモタウン佐伯内
セガワールド高城,大分県大分市牧１－１６１－８セガワールド高城
セガワールド中津,大分県中津市沖代町１－２－１６セガワールド中津
ゆめタウン別府店ＢＩＧＷＡＶＥ,大分県別府市楠町３８２－６ゆめタウン別府
タイトーステーションアミュプラザおおいた,大分県大分市要町１－１４アミュプラザおおいた４階
GiGO延岡,宮崎県延岡市平原町5-1492-8GiGO延岡
サンゲームス都城北,宮崎県都城市上川東4丁目5997-4
モーリーファンタジー延岡店,宮崎県延岡市旭町２－２－１イオン延岡２階
ゲームセンター電撃,ベイサイド店,鹿児島県鹿児島市浜町2番2
ザ・サードプラネットフレスポＪＰ鹿児島店,鹿児島県鹿児島市与次郎１－１１－１フレスポジャングルパーク２階
モーリーファンタジー鹿児島店,鹿児島県鹿児島市東開町7イオンモール鹿児島3階