m,b,第6弾「CHUNITHM オリジナルグッズプレゼントキャンペーン」 参加店舗一覧2022年2月17日(木) ～ 4月13日(水)
ラウンドワン旭川店,北海道旭川市永山三条１−４−７
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F
ディノスパーク旭川,北海道旭川市大雪通5丁目496番地5号 1階
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
ディノスパーク音更,北海道河東郡音更町木野大通西15丁目2番地12ﾋﾞｯｸﾞﾏｰﾄB棟
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１
キャッツアイ恵庭店,北海道恵庭市住吉町２丁目９−１
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７−３ カテプリさっぽろ３階
キャッツアイ宮の沢,北海道札幌市手稲区西宮の沢５条２丁目１１−１５
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１
プラボ札幌西町店（ワンダーシティ札幌）,北海道札幌市西区西町北13丁目1番(旧国道五号線沿い)
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1　イオン札幌発寒SC3F
タイトーステーション 札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
namco札幌エスタ店,北海道札幌市中央区北5条西2-1-1札幌エスタ9F
ソユーゲームフィールド苗穂店,北海道札幌市東区東苗穂2条3-1-1　イオンモール札幌苗穂２Ｆ
キャッツアイ東苗穂店,北海道札幌市東区東苗穂6条2丁目1-25
アドアーズ札幌北４２条,北海道札幌市東区北４２条東７−１−１　嶋ビル２階
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１−５０
キャッツアイミュンヘン大橋店,北海道札幌市豊平区平岸１条２３丁目８０１−１
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１
イオン千歳　キッズパーク,北海道千歳市栄町６−６１
タイトーステーション 千歳店,北海道千歳市北栄２−１２−５
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 ｽｽﾞﾗﾝﾎﾞｳﾙ 1、2階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
ＢＩＧＢＡＮＧ滝川,北海道滝川市東町１−８−１４
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
キャッツアイ静内店,北海道日高郡新ひだか町静内木場町２丁目１−４１
ディノスパーク函館昭和,北海道函館市昭和3丁目24-18ｹﾞｵ函館昭和店 1階
ラウンドワン函館店,北海道函館市西桔梗町８４８−１１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ
ディノスパーク北見店,北海道北見市西三輪5丁目1番地16号
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１
ゲームランドつがる柏店,青森県つがる市柏稲盛幾世41イオンモールつがる柏2F
ｎａｍｃｏエルムの街ショッピングセンター,青森県五所川原市大字唐笠柳字藤巻517-1ｴﾙﾑの街SC　本棟2階
ゲームフェスタミタマ店,青森県弘前市駅前町5-5
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ
セガ弘前,青森県弘前市末広1-3-3
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ
ソユーゲームフィールド青森店,青森県青森市浜田1-14-1イトーヨーカドー青森店2F
ラウンドワン青森店,青森県青森市浜田３−１−１
ソユーゲームフィールド八戸店,青森県八戸市沼館4-7-112八戸ピアドゥＢ棟2F
セガ八戸,青森県八戸市城下4-25-14
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1
セガ水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール１Ｆ
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F
キッズランド,岩手県紫波郡紫波町桜町１丁目１２−１　ナックス内キッズランド
タイトーステーション 盛岡マッハランド店,岩手県盛岡市上堂１−２−３８マッハランド内
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５
ゲームランド盛岡店,岩手県盛岡市前潟４−７−１イオンモール盛岡２Ｆ
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F
アミューズメントゾーン北上店,岩手県北上市本通2-2-1さくら野北上店4F
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１
アピナ新利府　北館店,宮城県宮城郡利府町利府字新屋田前２２イオンモール新利府北館２
プラサカプコン石巻店,宮城県石巻市茜平4丁目104番地 ｲｵﾝ石巻ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F
セガワールド石巻,宮城県石巻市大街道東4-1-45
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
タイトーステーション 仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５
セガ仙台,宮城県仙台市青葉区中央２−５−５
プレイランドエフワンＲ,宮城県仙台市青葉区中央２−６−６タベイビルＢ１Ｆ
ビーカム松森店,宮城県仙台市泉区松森字斎兵衛５８−１
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内
ゲームランド佐沼店,宮城県登米市南方町新島前４６−１イオンタウン佐沼ＳＣ
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
ソユーゲームフィールド　能代店,秋田県能代市鰄渕字古屋布1番イオンタウン能代内
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
セガ秋田,秋田県秋田市茨島1-1-16
ラウンドワン秋田店,秋田県秋田市卸町１−１−２
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
ｎａｍｃｏイオンタウン大館西店,秋田県大館市根下戸新町18-121イオンタウン大館西内
メルヘンランド大館,秋田県大舘市御成町3-7-58いとく大館3F
プラサカプコン大曲店,秋田県大仙市和合字坪立１７７イオン大曲ＳＣ２Ｆ
リスチャイルド湯沢店,秋田県湯沢市字上萩生田162イオンスーパーセンター湯沢店内
ＡＮ・ＫＩＮ・ＴＡＮ五城目店,秋田県南秋田郡五城目町大字大川西野字田屋前138ｲｵﾝSUC五城店
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣SC内
リスチャイルドたかのす店,秋田県北秋田市栄字中綱31-1イオンタウンたかのす店内
リスチャイルド本荘店,秋田県由利本荘市石脇字田中138SC本荘店内
スタジオプリモ山形店,山形県山形市城南町１−１−１　霞城セントラル２Ｆ
ビーカム成沢店,山形県山形市成沢西５−３−２７
セガワールド北山形,山形県山形市北町1-3-20
トレジャーサバイバル,山形県山形市北町２−２−４５
トレジャー新庄店,山形県新庄市金沢沖１０６８
アピナ鶴岡店,山形県鶴岡市文下字広野１−１
スーパーノバ天童,山形県天童市南町1-5-26
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ
セガ庄内,山形県東田川郡三川町猪字大堰端３２６番地６
セガ米沢,山形県米沢市大字花沢字タナコ原177
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ
嶺宝スポーツセンター,福島県いわき市小名浜住吉折返２−２
セガ小名浜,福島県いわき市小名浜林城字塚前18-1
ドリームファクトリーいわき店,福島県いわき市中央台飯野4-1
セガワールド勿来,福島県いわき市勿来町四沢字鍵田13
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１
ラウンドワン郡山店,福島県郡山市向河原町４−５５
ｎａｍｃｏイオンタウン郡山店,福島県郡山市松木町２−８８イオンタウン郡山内
セガ日和田,福島県郡山市日和田町字西中島7-1
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
G3ポロス原町店,福島県南相馬市原町区北原本屋敷188
セガワールド白河,福島県白河市新高山1-1 メガステージ白河内
THE 3RD PLANET ピボット福島店,福島県福島市栄町1-1 パワーシティーピボット内
スーパーノバ福島,福島県福島市黒岩字中島7-2
ラウンドワン福島店,福島県福島市太田町14-18
セガワールド福島,福島県福島市本内中井1-2
ゲームメガつくば店,茨城県つくば市小野崎177-2
ピンクパンサーつくばみらい店,茨城県つくばみらい市陽光台1-14-1
ＡＭジャムジャムつくば店,茨城県つくば市竹園１—９−２デイズタウンつくば地下１Ｆ
ＡＭジャムジャムひたちなか本店,茨城県ひたちなか市田中後４０−２
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１
セガ霞ヶ浦,茨城県稲敷市西代1473-1
ドリームファクトリーブイブイ！境町店,茨城県猿島郡境町１３２７−１ＭＧＭパワーセンター内１Ｆ
ピンクパンサー下妻店,茨城県下妻市小島884-10
ピンクパンサー結城店,茨城県結城市結城10520-1
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１
宝島鹿嶋店,茨城県鹿嶋市宮中290-1ショッピングセンターチェリオ1F
ＳＯＹＵ　ＴＯＹ’Ｓ　ＮＹ　守谷店,茨城県守谷市百合ヶ丘3-249-1　イオンタウン守谷2Ｆ
ＡＭジャムジャム神栖店,茨城県神栖市神栖１ー８−１
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
スタジオプリモ水戸店,茨城県水戸市宮町１−２−４マイム１F
セガ水戸,茨城県水戸市宮町1-7-44コムボックス310
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1
セガ水戸南,茨城県水戸市千波町２０１７−１
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ
セガ石岡,茨城県石岡市東大橋中峯1976-1
アピナ下館店,茨城県筑西市玉戸１０１２−３
楽市楽座イオンモール土浦店,茨城県土浦市上高津３６７イオンモール土浦ＳＣ３階
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３
ピンクパンサー那珂店,茨城県那珂市菅谷1593-8
セガワールド日立,茨城県日立市田尻町3-26-1
ピンクパンサー日立店,茨城県日立市東多賀町5-10-10
セガ龍ケ崎,茨城県龍ケ崎市藤ケ丘4-2-8
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号トナリエ宇都宮
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１
セガワールド宇都宮,栃木県宇都宮市東宿郷5-1-7
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７−３
ナムコプラボ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル
namcoフェドラP&D佐野店,栃木県佐野市高萩町１３４０
ドリームファクトリーアロハ！鹿沼店,栃木県鹿沼市睦町２８７−１
アピナ小山店,栃木県小山市駅南町４−２７−１８
タイトーＦステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟
タイトーＦステーションVAL小山,栃木県小山市城山町３丁目３番地２２号小山駅ビル３Ｆ
セガ小山,栃木県小山市東城南1-1-18
アドアーズアシコタウンあしかが,栃木県足利市大月町３番地２　アシコタウンあしかが
ドラマ足利店,栃木県足利市朝倉町244-1
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０
セガ西那須野,栃木県那須塩原市南郷屋2-106-27
セガ今市,栃木県日光市芹沼1448-1
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4
セガスマーク伊勢崎,群馬県伊勢崎市小保方町３６８番地スマーク伊勢崎３Ｆ北−３０２
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
セガワールド館林,群馬県館林市小桑原町949-1
宝島　桐生店,群馬県桐生市永楽町５−１０ＭＥＧＡドン・キホーテ桐生店３Ｆ
THE 3RD PLANET 高崎店,群馬県高崎市下和田町5-3-8 メディアメガ高崎内
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
タイト—Ｆステーション高崎オ—パ店,群馬県高崎市八島町４６−１　高崎オ—パ７階
群馬レジャーランド渋川店,群馬県渋川市八木原1364
セガワールド沼田,群馬県沼田市下久屋町1100-1
ゲームパークＭ１,群馬県前橋市国領町２−１３−６
マトリクス前橋,群馬県前橋市小相木町５５８−１
ゲームシティボストン,群馬県前橋市大友町3-7-3
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１−１
ｎａｍｃｏけやきウォーク前橋,群馬県前橋市文京町２−１−１けやきウォーク前橋2F
群馬レジャーランド太田店,群馬県太田市西矢島町162-2
セガワールド太田,群馬県太田市西矢島町575-1
ユーズランド太田店,群馬県太田市石原町８１番地イオンモール太田２Ｆ
アピナ太田店,群馬県太田市内ケ島町９０７−１
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉３−３−６３
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４−９０−７
タイトーＦステーションダイエー大宮店,埼玉県さいたま市大宮区桜木町２丁目３番地
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１
アピナ大宮店,埼玉県さいたま市大宮区仲町１−１９
Ｓｐｉｃａ大宮南銀店,埼玉県さいたま市大宮区仲町1-57
セガ与野,埼玉県さいたま市中央区本町西5-2-9イオンモール与野3F
宝島　浦和美園店,埼玉県さいたま市緑区美園５−５０−１イオンモール浦和美園２Ｆ
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ
プラサカプコン羽生店,埼玉県羽生市川崎２−２８１−３イオンモール羽生２階
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
ベネクス越谷店,埼玉県越谷市南荻島２７７０−１
ウェアハウス越谷店,埼玉県越谷市南荻島８４１−１
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２−１
ソユーゲームフィールド菖蒲店,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ
キャッツアイ狭山店,埼玉県狭山市入間川３１４１
ＳＯＹＵＧａｍｅＦｅｉｌｄ熊谷,埼玉県熊谷市銀座2-245ﾆｯﾄﾓｰﾙ4F
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座2-97CARPA1階
セガワールド籠原,埼玉県熊谷市美土里町1-169
ギガステーション戸田店,埼玉県戸田市大字美女木943-7
プリモピア鴻巣店,埼玉県鴻巣市北新宿２２５−１ウニクス鴻巣１階
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７
キャロム坂戸店,埼玉県坂戸市関間2-151-1
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保３９４−１
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1
タイトーステーション 所沢店,埼玉県所沢市日吉町３−７
セガ所沢,埼玉県所沢市日吉町8-1
ＦＥＳＴＡ上尾店,埼玉県上尾市愛宕３−１−４０バリュープラザ上尾愛宕店２Ｆ
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１
ウェアハウス上尾店,埼玉県上尾市二ツ宮１０４４
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　Ｐ・Ａ・Ｐ・Ａ上尾ＳＣ別棟
セガ花園,埼玉県深谷市荒川359
タイトーＦステーションクレアモール川越店,埼玉県川越市新富町２−１−１３
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1
アピナ川越店,埼玉県川越市泉町１−１　ウニクス南古谷シネマ棟１Ｆ
ベネクス川越店,埼玉県川越市大仙波340-1
ゲームシティ川口店,埼玉県川口市栄町1-10-5
シルクハット　川口,埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ
楽市楽座イオンモール川口前川店,埼玉県川口市前川1-1-11イオンモール川口前川店3F
セガ川口,埼玉県川口市東領家2-2-10
ソユーゲームフィールド川口店,埼玉県川口市並木元町１−７９　アリオ川口３Ｆ
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1
ラウンドワン朝霞店,埼玉県朝霞市膝折町２−１６−１０
ラウンドワン入間店,埼玉県入間市小谷田３−７−２５
セガ入間,埼玉県入間市東藤沢2-18
THE 3RD PLANET フレスポ八潮店,埼玉県八潮市大瀬1-1-3 フレスポ八潮3F
嵐山ドライブイン,埼玉県比企郡嵐山町大字志賀1822
セガららぽーと富士見,埼玉県富士見市山室1-1313 ららぽーと富士見3F
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町大字杉戸２３３８
タイトーステーション 和光店,埼玉県和光市丸山台１−４−５
アドアーズ和光,埼玉県和光市本町３−５ワコーステーション３　１−３Ｆ
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2階
ラウンドワンわらび店,埼玉県蕨市北町５−１−６
セガ旭,千葉県旭市二字野場3150-1
アピナ印西店,千葉県印西市原１−２ビッグホップガーデンモール印西２Ｆ
ゲームランド千葉ニュータウン店,千葉県印西市中央北３丁目　イオンモール　千葉ＮＴモール棟３Ｆ
宝島新浦安店,千葉県浦安市入船１−４−１イオン新浦安店４Ｆ
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15
セガ我孫子,千葉県我孫子市柴崎字天王谷47-1
佐原ミナミボウル,千葉県香取市佐原イ-4200
ラッキー佐倉店,千葉県佐倉市井野1475
千葉レジャーランド成東店,千葉県山武市姫島111-1
ゲームランドちはら台店,千葉県市原市ちはら台西３−４ｕｎｉｍｏちはら台２Ｆ
イスカンダル五井金杉店,千葉県市原市五井金杉1-47
チャリオット五井店,千葉県市原市五井中央西２−１−２
アピナ市原店,千葉県市原市更級４丁目２番１号アクロスプラザ市原更級Ｆ棟１階
チャリオット辰巳店,千葉県市原市市原500-1
ラウンドワン市原店,千葉県市原市八幡北町３−５−１
ラウンドワン市川鬼高店,千葉県市川市鬼高４−１−３
アミューズメントエース市川,千葉県市川市市川１−９−１１サン市川ハイツ１階
本八幡ゲームUNO,千葉県市川市八幡２丁目１６ー６八幡ハタビルB1F
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F
スーパービバホーム新習志野店２階,千葉県習志野市茜浜１−１−２　スーパービバホーム２Ｆ
ラウンドワン習志野店,千葉県習志野市芝園１−４−５
シルクハット　津田沼,千葉県習志野市津田沼１−２−１十三ビル地下１階
ゲームランド津田沼店,千葉県習志野市津田沼１−２３−１イオンモール津田沼２Ｆ
ゲームソニックビーム松戸,千葉県松戸市松戸1172-1
ｎａｍｃｏ松戸店,千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ
セガ松戸,千葉県松戸市日暮1-1-1八柱駅第2ﾋﾞﾙ2F
プラサカプコン成田店,千葉県成田市ウイング土屋２４イオン成田ＳＣ２Ｆ
テクモピアロックダム公津の杜店,千葉県成田市公津の杜4-5-3成田ユアエルム3F
セガワールド成田,千葉県成田市東町157-5
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18
クラブセガ稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４
ラッキー西千葉店,千葉県千葉市稲毛区弥生町1-15
ＧａｍｅＦｉｅｌｄ千城台店,千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ
セガアリーナ蘇我,千葉県千葉市中央区川崎町51-1ハーバーシティ蘇我FW AM棟1F
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
セガ千葉,千葉県千葉市中央区富士見2-4-1
アドアーズ千葉,千葉県千葉市中央区富士見２−４−１５第一東和ビル
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1
セガ幕張,千葉県千葉市美浜区ひび野1-8メッセ・アミューズ・モール１Ｆ
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル
セガららぽーとTOKYO−BAY,千葉県船橋市浜町2-1-1北館1F
アドアーズ船橋,千葉県船橋市本町１−３１−２６セブン船橋Ｂ１Ｆ〜３Ｆ
タイトーステーション 船橋店,千葉県船橋市本町１−６−１
セガイオンモール銚子,千葉県銚子市三崎町2-2660-1イオンモール銚子2F
タイトーFステーション柏中央,千葉県柏市十余二２４９−５
ラウンドワンアリオ柏店,千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０
ゲームゴジラ,千葉県柏市柏１−１−１１ファミリかしわＢ１
ハイテクセガ柏,千葉県柏市柏1-1-11丸井デパート内B1F
柏ガリバー,千葉県柏市柏１−１−１１丸井ビルＢ１Ｆ
タイトーステーション 柏店,千葉県柏市柏２−３−１フーサワビル
キャッツアイ八千代店,千葉県八千代市吉橋１８５１　ｉｓｍ緑ヶ丘内
ラウンドワン八千代村上店,千葉県八千代市村上南１丁目５番地５４
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088
プラサカプコン富津店,千葉県富津市青木1-5-1イオンモール富津内ゲームコーナー
ＧＡＭＥ　ＳＱＵＡＲＥ茂原店,千葉県茂原市六ツ野八貫野２７８５−１ライフガーデン茂原内
ソユーゲームフィールド木更津店,千葉県木更津市築地１−４イオンモール木更津２F
イスカンダル木更津店,千葉県木更津市潮見４−１−２
千葉レジャーランド野田店,千葉県野田市吉春776-1
アピナ野田七光台店,千葉県野田市七光台４−２
ｎａｍｃｏ流山おおたかの森Ｓ・Ｃ店,千葉県流山市おおたかの森南１−５−１おおたかの森Ｓ・Ｃ３Ｆ
ウェアハウス南流山店,千葉県流山市南流山４−１６−６
ｎａｍｃｏイオンモール幕張新都心店,千葉県千葉市美浜区豊砂１−１ｲｵﾝｸﾞﾗﾝﾄﾞﾓｰﾙ３F
ゲームパニック　新宿歌舞伎町店,東京都新宿区歌舞伎町1丁目20番1号ヒューマックスパピリオン1F
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
アドアーズ新小岩,東京都葛飾区新小岩１−４４−４　ＶＯＲＴ新小岩ビル
